Year,Exporter,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2023,Russia,Europe & Central Asia,Non-Aligned,Yes,Egypt,Middle East & North Africa,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,25.0,39,Government-to-Government,No,27,3832,3.6,2.2,Yes,No,Medium,2.4,Accelerating,No,High
2021,United States,North America,NATO,Yes,Saudi Arabia,Middle East & North Africa,Sensors & Electronics,EW Suite,Defensive,32.1,116,Foreign Military Sales (FMS),No,12,21719,5.0,1.5,Yes,No,High,4.0,Stable,No,High
2011,France,Europe & Central Asia,NATO,Yes,Greece,Europe & Central Asia,Artillery & Ammunition,MLRS,Offensive,9.8,106,Direct Commercial Sale,No,21,18932,6.7,7.5,Yes,Yes,Low,3.0,Accelerating,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Thailand,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,80.8,75,Bilateral Defence Pact,Yes,25,6572,4.5,4.2,No,No,Low,2.2,Stable,No,Medium
2020,France,Europe & Central Asia,NATO,Yes,Mexico,Latin America & Caribbean,Combat Aircraft,UAV/Drone,Offensive,563.5,24,Government-to-Government,Yes,45,9685,2.7,6.2,Yes,No,Medium,3.9,Accelerating,No,High
2017,South Korea,East Asia & Pacific,Non-NATO Ally,No,Pakistan,South Asia,Naval Vessels,Corvette,Offensive,320.9,2,Bilateral Defence Pact,No,47,1573,3.3,4.1,Yes,Yes,Low,3.7,Stable,No,High
2024,Russia,Europe & Central Asia,Non-Aligned,Yes,Japan,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,885.9,99,Government-to-Government,No,61,38392,7.3,8.0,No,Yes,Low,1.9,Declining,No,Low
2011,Spain,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Missiles & Air Defence,SAM System,Defensive,79.2,6,Foreign Military Sales (FMS),Yes,12,7022,4.4,7.0,Yes,No,Medium,3.2,Stable,No,Medium
2016,United States,North America,NATO,Yes,Colombia,Latin America & Caribbean,Small Arms & Light Weapons,ATGM,Offensive,16.3,161,Bilateral Defence Pact,Yes,11,6477,4.4,6.7,Yes,No,Medium,6.2,Stable,No,Medium
2022,Germany,Europe & Central Asia,NATO,No,Nigeria,Sub-Saharan Africa,Armoured Vehicles,APC,Defensive,121.3,49,Foreign Military Sales (FMS),No,24,2269,2.5,4.5,Yes,No,High,5.6,Stable,No,High
2005,United Kingdom,Europe & Central Asia,NATO,Yes,Mexico,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,12.6,1,Bilateral Defence Pact,No,19,10356,3.6,6.0,Yes,No,Medium,4.0,Stable,No,Medium
2022,China,East Asia & Pacific,Non-Aligned,Yes,Philippines,East Asia & Pacific,Sensors & Electronics,C4ISR Package,Defensive,27.7,55,Bilateral Defence Pact,No,17,3354,4.2,6.0,Yes,Yes,Low,5.2,Accelerating,No,High
2018,United States,North America,NATO,Yes,Saudi Arabia,Middle East & North Africa,Armoured Vehicles,APC,Defensive,113.7,19,Foreign Military Sales (FMS),No,13,25264,5.0,1.4,Yes,No,High,6.5,Accelerating,No,High
2010,France,Europe & Central Asia,NATO,Yes,India,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,52.1,11,Bilateral Defence Pact,No,23,2321,5.7,6.5,Yes,Yes,Low,6.4,Accelerating,No,High
2014,South Korea,East Asia & Pacific,Non-NATO Ally,No,Bangladesh,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,196.9,6,Bilateral Defence Pact,Yes,45,2708,4.3,5.0,No,No,Low,1.6,Accelerating,No,Medium
2020,Spain,Europe & Central Asia,NATO,No,Romania,Europe & Central Asia,Armoured Vehicles,APC,Defensive,17.2,83,Foreign Military Sales (FMS),No,21,14616,5.9,6.8,Yes,No,Low,5.4,Accelerating,No,Medium
2005,United States,North America,NATO,Yes,Ethiopia,Sub-Saharan Africa,Helicopters,Naval Helicopter,Defensive,53.9,1,Foreign Military Sales (FMS),Yes,22,984,2.5,2.8,Yes,Yes,Low,4.1,Declining,No,High
2016,United Kingdom,Europe & Central Asia,NATO,Yes,Singapore,East Asia & Pacific,Naval Vessels,Submarine,Offensive,779.0,189,Bilateral Defence Pact,No,56,66795,8.3,5.1,No,No,Low,2.2,Stable,No,Low
2012,China,East Asia & Pacific,Non-Aligned,Yes,Angola,Sub-Saharan Africa,Armoured Vehicles,APC,Defensive,38.1,79,Bilateral Defence Pact,No,6,2346,3.5,2.5,No,No,High,2.9,Stable,No,Medium
2024,China,East Asia & Pacific,Non-Aligned,Yes,Philippines,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,92.9,57,Foreign Military Sales (FMS),No,12,3457,4.4,6.0,Yes,Yes,Low,2.8,Declining,No,Medium
2018,Italy,Europe & Central Asia,NATO,No,Ukraine,Europe & Central Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,272.8,15,Government-to-Government,No,65,3931,2.1,5.4,Yes,Yes,Low,5.9,Accelerating,No,High
2023,China,East Asia & Pacific,Non-Aligned,Yes,Iraq,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,391.3,5,Bilateral Defence Pact,No,71,4714,2.1,3.8,Yes,Yes,High,2.8,Declining,No,High
2019,China,East Asia & Pacific,Non-Aligned,Yes,Singapore,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,29.0,37,Government-to-Government,Yes,24,68277,9.0,6.4,No,No,Low,1.8,Stable,No,Low
2014,Russia,Europe & Central Asia,Non-Aligned,Yes,Peru,Latin America & Caribbean,Missiles & Air Defence,SAM System,Defensive,85.8,48,Direct Commercial Sale,No,45,6377,4.7,6.1,No,No,Medium,1.6,Declining,No,Low
2024,Germany,Europe & Central Asia,NATO,No,Japan,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,224.2,1,Bilateral Defence Pact,No,26,37043,8.5,8.7,No,Yes,Low,3.0,Stable,No,Low
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,UAE,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,26.0,1,Bilateral Defence Pact,No,9,42287,6.5,2.4,No,No,High,1.1,Stable,No,Medium
2006,Germany,Europe & Central Asia,NATO,No,Singapore,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,91.9,13,Offset Agreement,Yes,19,63468,8.6,5.9,No,No,Low,1.1,Stable,No,Low
2011,China,East Asia & Pacific,Non-Aligned,Yes,Poland,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,92.7,178,Government-to-Government,No,19,17695,7.0,7.4,Yes,No,Low,3.4,Stable,No,Medium
2010,Sweden,Europe & Central Asia,NATO,No,Peru,Latin America & Caribbean,Naval Vessels,Submarine,Offensive,420.0,157,Multilateral Programme,No,55,6573,4.6,6.5,No,No,Medium,2.9,Stable,No,Medium
2010,Russia,Europe & Central Asia,Non-Aligned,Yes,Qatar,Middle East & North Africa,Sensors & Electronics,EW Suite,Defensive,50.5,141,Multilateral Programme,No,13,60652,6.4,2.4,No,No,High,1.3,Accelerating,No,Medium
2018,China,East Asia & Pacific,Non-Aligned,Yes,Algeria,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,163.6,14,Multilateral Programme,No,24,4105,3.9,3.4,Yes,Yes,High,4.5,Stable,No,High
2017,Russia,Europe & Central Asia,Non-Aligned,Yes,Indonesia,East Asia & Pacific,Artillery & Ammunition,Guided Munitions,Offensive,77.2,130,Direct Commercial Sale,No,6,4301,5.5,7.0,No,Yes,Medium,2.9,Declining,No,Medium
2018,China,East Asia & Pacific,Non-Aligned,Yes,South Korea,East Asia & Pacific,Sensors & Electronics,C4ISR Package,Defensive,108.9,4,Bilateral Defence Pact,No,21,30280,7.0,7.4,Yes,Yes,Low,4.6,Accelerating,No,High
2006,China,East Asia & Pacific,Non-Aligned,Yes,Peru,Latin America & Caribbean,Naval Vessels,Patrol Boat,Defensive,373.7,4,Direct Commercial Sale,No,35,6435,4.5,5.8,No,No,Medium,1.5,Stable,No,Medium
2015,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Naval Vessels,Patrol Boat,Defensive,506.3,15,Government-to-Government,Yes,71,79659,8.9,9.8,No,No,High,2.8,Stable,No,Low
2020,Russia,Europe & Central Asia,Non-Aligned,Yes,Qatar,Middle East & North Africa,Sensors & Electronics,C4ISR Package,Defensive,103.1,24,Government-to-Government,Yes,12,55016,6.7,2.3,No,No,High,2.1,Declining,No,Medium
2013,China,East Asia & Pacific,Non-Aligned,Yes,Chile,Latin America & Caribbean,Armoured Vehicles,IFV,Offensive,40.8,12,Government-to-Government,No,24,15118,6.6,7.7,No,No,Medium,2.6,Stable,No,Low
2005,Germany,Europe & Central Asia,NATO,No,Romania,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,46.6,4,Foreign Military Sales (FMS),No,44,14227,5.8,7.2,Yes,No,Low,6.0,Accelerating,No,High
2014,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Combat Aircraft,Trainer/Light Combat,Defensive,314.6,30,Foreign Military Sales (FMS),No,69,8951,5.0,6.5,No,No,Medium,1.4,Stable,No,Low
2021,China,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Missiles & Air Defence,MANPADS,Defensive,303.2,29,Direct Commercial Sale,Yes,21,9391,4.7,3.3,No,No,High,1.8,Accelerating,No,High
2016,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Helicopters,Utility Helicopter,Defensive,158.0,22,Bilateral Defence Pact,Yes,27,20211,6.4,7.8,Yes,Yes,Low,2.6,Declining,No,Medium
2007,France,Europe & Central Asia,NATO,Yes,Brazil,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,226.7,41,Foreign Military Sales (FMS),No,26,9836,4.8,6.5,No,No,Medium,2.9,Stable,No,Medium
2010,France,Europe & Central Asia,NATO,Yes,Egypt,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,616.0,11,Bilateral Defence Pact,No,45,3243,3.4,1.8,Yes,No,Medium,3.5,Declining,No,High
2015,United Kingdom,Europe & Central Asia,NATO,Yes,Poland,Europe & Central Asia,Naval Vessels,Patrol Boat,Defensive,308.0,80,Government-to-Government,Yes,35,17128,6.8,7.1,Yes,No,Low,5.6,Accelerating,No,High
2010,Italy,Europe & Central Asia,NATO,No,Morocco,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,85.4,40,Multilateral Programme,Yes,20,3403,5.2,4.0,No,Yes,Medium,2.7,Stable,No,Medium
2018,Germany,Europe & Central Asia,NATO,No,Philippines,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,37.6,51,Direct Commercial Sale,No,20,3301,4.6,6.2,Yes,Yes,Low,3.8,Stable,No,Medium
2021,Germany,Europe & Central Asia,NATO,No,Romania,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,112.3,3,Government-to-Government,Yes,13,15820,5.8,7.5,Yes,No,Low,4.0,Accelerating,No,Medium
2017,Italy,Europe & Central Asia,NATO,No,Kenya,Sub-Saharan Africa,Naval Vessels,Submarine,Offensive,102.3,43,Bilateral Defence Pact,No,27,1971,4.9,5.4,Yes,No,Low,4.3,Accelerating,No,High
2020,Russia,Europe & Central Asia,Non-Aligned,Yes,Iraq,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,196.8,155,Bilateral Defence Pact,Yes,14,4850,1.8,3.5,Yes,Yes,High,4.7,Accelerating,No,High
2012,China,East Asia & Pacific,Non-Aligned,Yes,Norway,Europe & Central Asia,Naval Vessels,Submarine,Offensive,642.0,14,Bilateral Defence Pact,No,49,72280,9.6,8.8,No,No,High,2.7,Accelerating,No,Low
2016,China,East Asia & Pacific,Non-Aligned,Yes,UAE,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,149.3,1,Direct Commercial Sale,No,11,36674,6.7,2.5,No,No,High,1.0,Stable,No,Low
2015,Russia,Europe & Central Asia,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Helicopters,Naval Helicopter,Defensive,86.3,6,Foreign Military Sales (FMS),No,45,10478,5.4,3.3,No,No,High,1.1,Accelerating,No,Medium
2024,United States,North America,NATO,Yes,Pakistan,South Asia,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,34.0,58,Foreign Military Sales (FMS),No,21,1501,3.1,3.7,Yes,Yes,Low,4.2,Accelerating,No,High
2010,United States,North America,NATO,Yes,Australia,East Asia & Pacific,Sensors & Electronics,EW Suite,Defensive,81.0,27,Bilateral Defence Pact,Yes,18,58851,8.4,9.4,No,No,Medium,1.4,Stable,No,Low
2013,United States,North America,NATO,Yes,Morocco,Middle East & North Africa,Small Arms & Light Weapons,Sniper System,Offensive,10.6,90,Offset Agreement,Yes,28,3545,5.7,2.9,No,Yes,Medium,2.0,Stable,No,Medium
2018,France,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Combat Aircraft,Trainer/Light Combat,Defensive,407.8,27,Direct Commercial Sale,Yes,59,1009,2.3,2.8,Yes,Yes,Low,3.2,Stable,No,High
2020,France,Europe & Central Asia,NATO,Yes,South Korea,East Asia & Pacific,Missiles & Air Defence,MANPADS,Defensive,522.6,92,Multilateral Programme,No,45,33155,6.9,7.8,Yes,Yes,Low,5.5,Declining,No,Medium
2021,France,Europe & Central Asia,NATO,Yes,Qatar,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,744.4,179,Government-to-Government,No,32,58060,6.3,2.3,No,No,High,2.0,Accelerating,No,High
2017,China,East Asia & Pacific,Non-Aligned,Yes,Qatar,Middle East & North Africa,Naval Vessels,Submarine,Offensive,714.4,171,Offset Agreement,Yes,40,57300,7.4,1.8,No,No,High,1.7,Stable,No,Medium
2015,Turkey,Europe & Central Asia,NATO,No,Kazakhstan,Europe & Central Asia,Sensors & Electronics,C4ISR Package,Defensive,74.4,13,Offset Agreement,Yes,9,10432,5.7,2.1,No,No,High,2.8,Stable,No,Medium
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Greece,Europe & Central Asia,Armoured Vehicles,APC,Defensive,96.2,62,Bilateral Defence Pact,Yes,22,20170,6.9,6.9,Yes,Yes,Low,3.3,Stable,No,Medium
2006,Russia,Europe & Central Asia,Non-Aligned,Yes,Singapore,East Asia & Pacific,Naval Vessels,Patrol Boat,Defensive,416.3,9,Government-to-Government,Yes,46,64214,9.1,6.2,No,No,Low,2.3,Stable,No,Low
2022,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,165.5,13,Direct Commercial Sale,Yes,25,18748,5.7,7.1,Yes,Yes,Low,4.0,Accelerating,No,High
2020,United States,North America,NATO,Yes,Mexico,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,173.3,35,Multilateral Programme,No,28,10354,4.0,5.8,Yes,No,Medium,5.9,Accelerating,No,High
2005,France,Europe & Central Asia,NATO,Yes,Chile,Latin America & Caribbean,Naval Vessels,Frigate,Offensive,502.4,4,Offset Agreement,Yes,39,15585,7.6,7.9,No,No,Medium,2.1,Declining,No,Low
2022,Germany,Europe & Central Asia,NATO,No,Bangladesh,South Asia,Armoured Vehicles,APC,Defensive,52.0,14,Government-to-Government,No,28,2738,4.4,4.5,No,No,Low,1.1,Stable,No,Low
2022,China,East Asia & Pacific,Non-Aligned,Yes,Romania,Europe & Central Asia,Armoured Vehicles,IFV,Offensive,84.9,60,Government-to-Government,Yes,9,15097,6.4,6.9,Yes,No,Low,3.8,Accelerating,No,Medium
2015,United Kingdom,Europe & Central Asia,NATO,Yes,Angola,Sub-Saharan Africa,Combat Aircraft,UAV/Drone,Offensive,479.9,130,Bilateral Defence Pact,No,31,2751,4.1,3.1,No,No,High,0.9,Declining,No,Medium
2006,Germany,Europe & Central Asia,NATO,No,Indonesia,East Asia & Pacific,Helicopters,Utility Helicopter,Defensive,52.8,193,Direct Commercial Sale,Yes,29,4252,6.2,7.1,No,Yes,Medium,2.7,Accelerating,No,Medium
2020,China,East Asia & Pacific,Non-Aligned,Yes,Ukraine,Europe & Central Asia,Helicopters,Attack Helicopter,Offensive,33.3,1,Direct Commercial Sale,No,39,4262,2.3,6.0,Yes,Yes,Low,3.7,Stable,Yes,High
2017,United States,North America,NATO,Yes,Saudi Arabia,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,43.0,99,Foreign Military Sales (FMS),Yes,26,23091,4.7,1.0,Yes,No,High,3.9,Declining,No,High
2012,United States,North America,NATO,Yes,Egypt,Middle East & North Africa,Armoured Vehicles,APC,Defensive,79.1,10,Government-to-Government,Yes,22,3579,3.9,2.7,Yes,No,Medium,2.4,Accelerating,No,High
2015,France,Europe & Central Asia,NATO,Yes,South Korea,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,70.6,51,Offset Agreement,Yes,27,30950,6.7,8.4,Yes,Yes,Low,2.7,Stable,No,Medium
2023,Spain,Europe & Central Asia,NATO,No,Iraq,Middle East & North Africa,Naval Vessels,Submarine,Offensive,339.3,13,Government-to-Government,No,35,5204,1.3,3.2,Yes,Yes,High,4.1,Accelerating,No,High
2021,United Kingdom,Europe & Central Asia,NATO,Yes,Brazil,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,18.9,74,Government-to-Government,Yes,13,8727,4.4,6.6,No,No,Medium,2.7,Accelerating,No,Medium
2010,China,East Asia & Pacific,Non-Aligned,Yes,Pakistan,South Asia,Helicopters,Attack Helicopter,Offensive,37.5,7,Bilateral Defence Pact,No,28,1374,2.7,4.0,Yes,Yes,Low,2.1,Stable,No,High
2007,Russia,Europe & Central Asia,Non-Aligned,Yes,Saudi Arabia,Middle East & North Africa,Naval Vessels,Corvette,Offensive,300.0,96,Foreign Military Sales (FMS),Yes,54,23683,4.1,1.7,Yes,No,High,4.9,Accelerating,No,High
2024,Germany,Europe & Central Asia,NATO,No,Chile,Latin America & Caribbean,Small Arms & Light Weapons,ATGM,Offensive,13.7,23,Offset Agreement,Yes,18,16369,6.8,8.3,No,No,Medium,2.2,Stable,No,Low
2015,Italy,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Combat Aircraft,Multi-Role Aircraft,Offensive,340.7,53,Bilateral Defence Pact,No,70,6518,3.6,7.2,Yes,No,Medium,4.6,Stable,No,High
2020,Russia,Europe & Central Asia,Non-Aligned,Yes,Greece,Europe & Central Asia,Missiles & Air Defence,MANPADS,Defensive,247.0,7,Direct Commercial Sale,No,36,19079,6.2,7.8,Yes,Yes,Low,5.1,Stable,No,High
2018,United States,North America,NATO,Yes,Iraq,Middle East & North Africa,Naval Vessels,Frigate,Offensive,527.7,37,Offset Agreement,Yes,54,4628,2.3,3.5,Yes,Yes,High,2.7,Declining,No,High
2017,China,East Asia & Pacific,Non-Aligned,Yes,Egypt,Middle East & North Africa,Combat Aircraft,Trainer/Light Combat,Defensive,389.1,31,Bilateral Defence Pact,No,57,3557,3.7,2.3,Yes,No,Medium,2.3,Declining,No,High
2017,Sweden,Europe & Central Asia,NATO,No,Mexico,Latin America & Caribbean,Combat Aircraft,Fighter Jet,Offensive,155.4,26,Bilateral Defence Pact,No,43,10614,3.3,6.0,Yes,No,Medium,3.6,Stable,No,High
2016,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Artillery & Ammunition,Mortar System,Offensive,28.9,89,Multilateral Programme,No,23,19562,6.5,7.9,Yes,Yes,Low,3.6,Accelerating,No,High
2021,Russia,Europe & Central Asia,Non-Aligned,Yes,Ethiopia,Sub-Saharan Africa,Missiles & Air Defence,SAM System,Defensive,73.1,4,Bilateral Defence Pact,No,19,1012,3.1,2.7,Yes,Yes,Low,3.7,Declining,No,High
2022,Germany,Europe & Central Asia,NATO,No,Singapore,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,782.9,19,Bilateral Defence Pact,No,49,62673,8.4,5.8,No,No,Low,1.3,Declining,No,Low
2024,China,East Asia & Pacific,Non-Aligned,Yes,Japan,East Asia & Pacific,Naval Vessels,Submarine,Offensive,398.0,5,Offset Agreement,Yes,55,38741,8.1,8.2,No,Yes,Low,1.3,Stable,No,Low
2023,Germany,Europe & Central Asia,NATO,No,Nigeria,Sub-Saharan Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,229.1,8,Direct Commercial Sale,No,27,2030,2.3,4.5,Yes,No,High,5.2,Accelerating,No,High
2020,Germany,Europe & Central Asia,NATO,No,Romania,Europe & Central Asia,Armoured Vehicles,MRAP,Defensive,71.4,122,Direct Commercial Sale,Yes,12,14834,6.1,7.6,Yes,No,Low,5.6,Stable,No,Medium
2023,France,Europe & Central Asia,NATO,Yes,Brazil,Latin America & Caribbean,Armoured Vehicles,IFV,Offensive,88.3,18,Bilateral Defence Pact,No,12,8260,4.9,5.9,No,No,Medium,1.4,Stable,No,Medium
2010,United States,North America,NATO,Yes,South Korea,East Asia & Pacific,Small Arms & Light Weapons,Sniper System,Offensive,13.9,183,Direct Commercial Sale,Yes,11,30623,6.3,8.0,Yes,Yes,Low,6.1,Declining,No,Medium
2017,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Naval Vessels,Submarine,Offensive,142.7,3,Government-to-Government,Yes,52,75634,8.7,8.8,No,No,High,1.7,Accelerating,No,Medium
2010,Russia,Europe & Central Asia,Non-Aligned,Yes,Colombia,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,47.2,2,Multilateral Programme,No,19,5981,4.5,6.5,Yes,No,Medium,3.0,Accelerating,No,High
2009,Sweden,Europe & Central Asia,NATO,No,Vietnam,East Asia & Pacific,Combat Aircraft,UAV/Drone,Offensive,159.1,6,Direct Commercial Sale,No,24,3690,5.2,1.7,No,Yes,Low,2.2,Accelerating,No,High
2013,France,Europe & Central Asia,NATO,Yes,Chile,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,16.1,183,Foreign Military Sales (FMS),No,7,14703,6.8,8.3,No,No,Medium,2.7,Stable,No,Low
2013,China,East Asia & Pacific,Non-Aligned,Yes,Peru,Latin America & Caribbean,Armoured Vehicles,MRAP,Defensive,25.1,22,Direct Commercial Sale,Yes,18,6914,4.3,6.4,No,No,Medium,2.5,Stable,No,Low
2013,Germany,Europe & Central Asia,NATO,No,Philippines,East Asia & Pacific,Naval Vessels,Corvette,Offensive,483.9,118,Direct Commercial Sale,No,29,3251,4.1,5.6,Yes,Yes,Low,4.8,Stable,No,High
2015,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Missiles & Air Defence,MANPADS,Defensive,181.9,35,Multilateral Programme,Yes,14,9324,4.3,6.7,No,No,Medium,2.1,Declining,No,Low
2021,Turkey,Europe & Central Asia,NATO,No,Egypt,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,70.6,19,Foreign Military Sales (FMS),Yes,14,3506,3.7,1.9,Yes,No,Medium,5.6,Declining,No,High
2024,France,Europe & Central Asia,NATO,Yes,Peru,Latin America & Caribbean,Combat Aircraft,UAV/Drone,Offensive,581.5,123,Foreign Military Sales (FMS),No,57,7437,5.1,5.7,No,No,Medium,1.6,Declining,No,Medium
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Combat Aircraft,Trainer/Light Combat,Defensive,545.6,82,Government-to-Government,No,39,10243,5.1,2.5,No,No,High,2.8,Accelerating,No,Medium
2021,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Naval Vessels,Corvette,Offensive,143.1,6,Direct Commercial Sale,No,25,21787,6.3,8.0,Yes,Yes,Low,6.0,Accelerating,No,Medium
2018,China,East Asia & Pacific,Non-Aligned,Yes,Greece,Europe & Central Asia,Naval Vessels,Frigate,Offensive,568.3,102,Offset Agreement,Yes,50,20647,5.9,7.6,Yes,Yes,Low,6.4,Accelerating,No,High
2015,France,Europe & Central Asia,NATO,Yes,Morocco,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,291.6,1,Bilateral Defence Pact,No,58,3531,6.1,4.8,No,Yes,Medium,1.5,Declining,No,Medium
2022,Italy,Europe & Central Asia,NATO,No,Thailand,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,35.1,29,Government-to-Government,Yes,28,7178,4.1,4.7,No,No,Low,2.4,Declining,No,Low
2023,United States,North America,NATO,Yes,Taiwan,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,464.8,1,Bilateral Defence Pact,No,53,33828,4.9,8.1,Yes,Yes,Low,5.1,Accelerating,No,High
2023,Turkey,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,83.0,41,Foreign Military Sales (FMS),No,20,6308,3.7,6.7,Yes,No,Medium,4.9,Accelerating,No,High
2016,Israel,Middle East & North Africa,Non-NATO Ally,No,Kenya,Sub-Saharan Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,66.8,1,Government-to-Government,No,14,2057,4.9,5.7,Yes,No,Low,2.6,Accelerating,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,South Korea,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,964.7,4,Multilateral Programme,No,49,32350,6.8,8.1,Yes,Yes,Low,4.7,Accelerating,No,High
2012,Russia,Europe & Central Asia,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,753.8,11,Foreign Military Sales (FMS),No,45,2010,3.9,5.6,Yes,No,Low,3.5,Declining,No,Medium
2012,France,Europe & Central Asia,NATO,Yes,Egypt,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,209.1,175,Offset Agreement,Yes,33,3670,3.7,2.6,Yes,No,Medium,4.0,Accelerating,No,High
2020,Germany,Europe & Central Asia,NATO,No,Ukraine,Europe & Central Asia,Artillery & Ammunition,Mortar System,Offensive,33.0,68,Foreign Military Sales (FMS),No,22,3839,1.9,4.8,Yes,Yes,Low,4.7,Accelerating,No,High
2015,China,East Asia & Pacific,Non-Aligned,Yes,Norway,Europe & Central Asia,Armoured Vehicles,APC,Defensive,35.0,3,Government-to-Government,Yes,17,82892,8.8,9.9,No,No,High,2.4,Stable,No,Low
2019,China,East Asia & Pacific,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Artillery & Ammunition,Guided Munitions,Offensive,49.4,5,Offset Agreement,Yes,24,10121,5.3,3.4,No,No,High,2.3,Stable,No,Medium
2005,United States,North America,NATO,Yes,Philippines,East Asia & Pacific,Naval Vessels,Submarine,Offensive,321.9,50,Foreign Military Sales (FMS),Yes,59,3295,4.2,5.8,Yes,Yes,Low,5.6,Accelerating,No,High
2013,Spain,Europe & Central Asia,NATO,No,Chile,Latin America & Caribbean,Helicopters,Attack Helicopter,Offensive,107.3,83,Foreign Military Sales (FMS),Yes,12,15992,6.7,7.8,No,No,Medium,2.2,Stable,No,Low
2014,Spain,Europe & Central Asia,NATO,No,Japan,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,482.1,14,Foreign Military Sales (FMS),Yes,61,40271,7.6,8.6,No,Yes,Low,1.6,Accelerating,No,Medium
